topic_1,topic_2,count
Cognitive & Learning Disabilities,Information & Communications Technology (ICT),2
Deaf and Hard of Hearing,Employment & Workplace,2
Mobility,Product Demonstration,2
Deaf and Hard of Hearing,Healthcare & Rehabilitation,2
Research,Web,2
Mobile Technology,Video & Live Streaming,2
Artificial Intelligence (AI) & Machine Learning (ML),Captions & Transcription,2
Design,Independent Living,2
Design,Healthcare & Rehabilitation,2
Product Demonstration,Web,2
Mobile Technology,School-to-Work Transitioning,2
Development,Healthcare & Rehabilitation,2
Captions & Transcription,Leisure & Travel,2
Cognitive & Learning Disabilities,Mobility,2
Leadership & Strategy,Web,2
Deaf and Hard of Hearing,Education,2
School-to-Work Transitioning,Web,2
Captions & Transcription,Healthcare & Rehabilitation,2
"Law, Compliance, and Policy",Research,2
Captions & Transcription,Employment & Workplace,2
Captions & Transcription,Development,2
Captions & Transcription,Deaf and Hard of Hearing,2
Cognitive & Learning Disabilities,Web,2
Education,Healthcare & Rehabilitation,2
Captions & Transcription,Cognitive & Learning Disabilities,2
Deaf and Hard of Hearing,Emerging Technologies,2
Research,Video & Live Streaming,1
"Law, Compliance, and Policy",Mobile Technology,1
Healthcare & Rehabilitation,Leisure & Travel,1
Healthcare & Rehabilitation,Leadership & Strategy,1
Healthcare & Rehabilitation,"Law, Compliance, and Policy",1
Video & Live Streaming,"Virtual Reality (VR), Augmented Reality (AR), & Cross/Mixed Reality (XR)",1
Healthcare & Rehabilitation,Information & Communications Technology (ICT),1
Healthcare & Rehabilitation,School-to-Work Transitioning,1
Independent Living,Research,1
Product Demonstration,Video & Live Streaming,1
Product Demonstration,School-to-Work Transitioning,1
Mobility,School-to-Work Transitioning,1
Mobility,Research,1
"Law, Compliance, and Policy",Mobility,1
Independent Living,School-to-Work Transitioning,1
Artificial Intelligence (AI) & Machine Learning (ML),Cognitive & Learning Disabilities,1
Independent Living,Video & Live Streaming,1
Artificial Intelligence (AI) & Machine Learning (ML),Leadership & Strategy,1
Artificial Intelligence (AI) & Machine Learning (ML),Deaf and Hard of Hearing,1
Leisure & Travel,Video & Live Streaming,1
Information & Communications Technology (ICT),Mobility,1
Artificial Intelligence (AI) & Machine Learning (ML),Design,1
Law,and Policy,1
"Law, Compliance, and Policy",Product Demonstration,1
Deaf and Hard of Hearing,Web,1
Employment & Workplace,Healthcare & Rehabilitation,1
Gaming & Interactive Entertainment,Healthcare & Rehabilitation,1
Cognitive & Learning Disabilities,Evaluation & Remediation,1
Education,Gaming & Interactive Entertainment,1
Digital Accessibility,"Virtual Reality (VR), Augmented Reality (AR), & Cross/Mixed Reality (XR)",1
Captions & Transcription,Evaluation & Remediation,1
Captions & Transcription,"Law, Compliance, and Policy",1
Captions & Transcription,Leadership & Strategy,1
Captions & Transcription,Mobile Technology,1
Captions & Transcription,Research,1
Captions & Transcription,School-to-Work Transitioning,1
Digital Accessibility,Gaming & Interactive Entertainment,1
Captions & Transcription,Video & Live Streaming,1
Development,Product Demonstration,1
Blind/Low Vision,Leisure & Travel,1
Cognitive & Learning Disabilities,Healthcare & Rehabilitation,1
Cognitive & Learning Disabilities,Mobile Technology,1
Cognitive & Learning Disabilities,Research,1
Development,Employment & Workplace,1
Compliance,Law,1
Compliance,and Policy,1
Deaf and Hard of Hearing,Development,1
Deaf and Hard of Hearing,Mobile Technology,1
Design,Gaming & Interactive Entertainment,1
Deaf and Hard of Hearing,Research,1
Education,Leadership & Strategy,1
Education,Mobility,1
Evaluation & Remediation,Product Demonstration,1
Artificial Intelligence (AI) & Machine Learning (ML),Web,1
Evaluation & Remediation,Mobile Technology,1
Artificial Intelligence (AI) & Machine Learning (ML),Mobility,1
Artificial Intelligence (AI) & Machine Learning (ML),Product Demonstration,1
Evaluation & Remediation,Independent Living,1
Engineering,Mobile Technology,1
Engineering,Leadership & Strategy,1
Employment & Workplace,School-to-Work Transitioning,1
Employment & Workplace,Product Demonstration,1
Employment & Workplace,Mobility,1
Employment & Workplace,Mobile Technology,1
Augmentative and Alternative Communications (AAC),Cognitive & Learning Disabilities,1
Augmentative and Alternative Communications (AAC),Web,1
Augmentative and Alternative Communications (AAC),Digital Accessibility,1
Emerging Technologies,"Virtual Reality (VR), Augmented Reality (AR), & Cross/Mixed Reality (XR)",1
Emerging Technologies,Video & Live Streaming,1
Augmentative and Alternative Communications (AAC),Emerging Technologies,1
Augmentative and Alternative Communications (AAC),Healthcare & Rehabilitation,1
Augmentative and Alternative Communications (AAC),Mobile Technology,1
Augmentative and Alternative Communications (AAC),Mobility,1
Augmentative and Alternative Communications (AAC),Product Demonstration,1
Augmentative and Alternative Communications (AAC),Video & Live Streaming,1
Emerging Technologies,Engineering,1
Video & Live Streaming,Web,1
